구분,티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가,손익률(%)
오늘신호,085910.KS,네오티스,20550.0,19650.0,2026-03-26,2026-06-05,537.52,Triple Bottom,,0.0,17328.107860347547,31984.64557123744,4.58
오늘신호,066970.KS,엘앤에프,144500.0,136700.0,2026-03-25,2026-06-04,193.1,Triple Bottom,,0.0,121591.88094706163,224437.26965316007,5.71
오늘신호,084990.KS,헬릭스미스,7020.0,6400.0,2026-03-26,2026-06-05,131.3,Triple Bottom,,0.0,5919.382831126023,10926.14169878768,9.69
오늘신호,053610.KS,프로텍,56300.0,59100.0,2026-03-25,2026-06-04,128.38,Rect Bottom,,0.0,50761.65903615194,93697.11257364934,-4.74
오늘신호,037460.KS,삼지전자,26000.0,23850.0,2026-03-25,2026-06-04,125.5,Rect Bottom,,0.0,23061.982967421187,42568.37257291212,9.01
오늘신호,160980.KS,싸이맥스,25050.0,24000.0,2026-03-25,2026-06-04,93.59,Rect Bottom,,0.0,20827.45810951749,38443.83190314184,4.38
매수,085910.KS,네오티스,20550.0,19650.0,2026-03-26,2026-06-05,537.52,Triple Bottom,,0.0,17328.107860347547,31984.64557123744,4.58
매수,240810.KS,원익IPS,121500.0,133400.0,2026-03-24,2026-06-03,362.46,Triple Bottom,,0.0,114508.85875597065,211363.25394520897,-8.92
매수,099320.KS,쎄트렉아이,184000.0,192100.0,2026-03-12,2026-05-22,288.93,Rect Bottom,,0.0,,,-4.22
매수,089970.KS,브이엠,45300.0,43400.0,2026-03-18,2026-05-28,279.72,Rect Bottom,,0.0,37944.761737987326,70039.3698640236,4.38
매수,295310.KS,에이치브이엠,102000.0,92000.0,2026-03-10,2026-05-20,241.14,Rect Bottom,,0.0,78840.78272226256,145526.2462730268,10.87
매수,368770.KS,파이버프로,21050.0,18430.0,2026-03-12,2026-05-22,237.96,Rect Bottom,,0.0,16366.840562985202,30210.31486801551,14.22
