구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,085910.KS,네오티스,2026-03-26,2026-06-05,19650.0,19590.0,,506.81,Triple Bottom,,16788.449026740618,30988.530088726882,-0.31,
매수,174900.KS,앱클론,2026-03-06,2026-05-16,65700.0,71300.0,,560.19,Rect Bottom,,51098.94580715627,94319.68475021844,8.52,
매수,085910.KS,네오티스,2026-03-26,2026-06-05,19650.0,19590.0,,506.81,Triple Bottom,,16788.449026740618,30988.530088726882,-0.31,
매수,240810.KS,원익IPS,2026-03-24,2026-06-03,133400.0,115900.0,,339.48,Triple Bottom,,114508.85875597065,211363.25394520897,-13.12,
매수,099320.KS,쎄트렉아이,2026-03-12,2026-05-22,192100.0,177000.0,,279.33,Rect Bottom,,,,-7.86,
매수,089970.KS,브이엠,2026-03-18,2026-05-28,43400.0,44400.0,,270.62,Rect Bottom,,37944.761737987326,70039.3698640236,2.3,
매수,295310.KS,에이치브이엠,2026-03-10,2026-05-20,92000.0,95500.0,,231.02,Rect Bottom,,78840.78272226256,145526.2462730268,3.8,
매수,368770.KS,파이버프로,2026-03-12,2026-05-22,18430.0,20150.0,,229.82,Rect Bottom,,16366.840562985202,30210.31486801551,9.33,
매수,086520.KS,에코프로,2026-03-19,2026-05-29,136250.0,149300.0,,228.13,Inv H&S,,,,9.58,
매수,356860.KS,티엘비,2026-03-18,2026-05-28,63600.0,72500.0,,222.12,Rect Bottom,,60037.04523877106,110817.84742929955,13.99,
매수,066970.KS,엘앤에프,2026-03-25,2026-06-04,136700.0,152100.0,,202.39,Triple Bottom,,,,11.27,
매수,200710.KS,에이디테크놀로지,2026-03-23,2026-06-02,48800.0,54400.0,,185.12,Rect Bottom,,43509.993459558806,80311.81077741372,11.48,
매수,131290.KS,티에스이,2026-03-17,2026-05-27,113411.05078125,108600.0,,180.4,Inv H&S,,99415.2757535268,183503.1490437418,-4.24,
매수,310210.KS,보로노이,2026-03-13,2026-05-23,334500.0,313500.0,,176.94,Rect Bottom,,297655.5754113228,549419.9458222295,-6.28,
매수,298380.KS,에이비엘바이오,2026-03-18,2026-05-28,183825.0,177400.0,,165.57,Inv H&S,,160211.21622705762,295721.7838703219,-3.5,
매수,170920.KS,엘티씨,2026-03-18,2026-05-28,28950.0,32600.0,,162.21,Rect Bottom,,24790.57766881839,45759.054977828746,12.61,
매수,166090.KS,하나머티리얼즈,2026-03-05,2026-05-15,64000.0,62400.0,,144.99,Rect Bottom,,56664.17752872775,104592.12566360857,-2.5,
매수,083650.KS,비에이치아이,2026-03-09,2026-05-19,93500.0,92600.0,,138.05,Triple Bottom,,89212.35093064577,164670.3407025266,-0.96,
매수,010060.KS,OCI홀딩스,2026-03-12,2026-05-22,152000.0,173200.0,,130.48,Rect Bottom,,,,13.95,
매수,222800.KS,심텍,2026-03-19,2026-05-29,59400.0,55100.0,,129.09,Inv H&S,,51183.26749990736,94475.32779436071,-7.24,
매수,105840.KS,우진,2026-03-20,2026-05-30,28250.0,24150.0,,127.62,Rect Bottom,,,,-14.51,
매수,003160.KS,디아이,2026-03-18,2026-05-28,36600.0,33850.0,,125.34,Rect Bottom,,,,-7.51,
매수,037460.KS,삼지전자,2026-03-25,2026-06-04,23850.0,25600.0,,121.84,Rect Bottom,,23061.982967421187,42568.37257291212,7.34,
매수,053610.KS,프로텍,2026-03-25,2026-06-04,59100.0,53500.0,,120.11,Rect Bottom,,50761.65903615194,93697.11257364934,-9.48,
매수,064760.KS,티씨케이,2026-03-16,2026-05-26,236500.0,228500.0,,118.32,Triple Bottom,,210804.23187770738,389107.61035568663,-3.38,
매수,078160.KS,메디포스트,2026-03-18,2026-05-28,23200.0,24350.0,,105.66,Rect Bottom,,18972.380868993663,35019.6849320118,4.96,
매수,047810.KS,한국항공우주,2026-03-17,2026-05-27,197600.0,183000.0,,103.79,Triple Bottom,,,,-7.39,
매수,237690.KS,에스티팜,2026-03-09,2026-05-19,160600.0,155100.0,,101.43,Rect Bottom,,143768.48614059645,265371.39026257826,-3.42,
매수,160980.KS,싸이맥스,2026-03-25,2026-06-04,24000.0,25350.0,,96.82,Rect Bottom,,20827.45810951749,38443.83190314184,5.62,
매수,101490.KS,에스앤에스텍,2026-03-03,2026-05-13,94900.0,81400.0,,96.74,Triple Bottom,,78334.85256575607,144592.38800817315,-14.23,
매수,178320.KS,서진시스템,2026-03-20,2026-05-30,46650.0,41650.0,,93.72,Rect Bottom,,39209.587129253574,72374.01552615772,-10.72,
매수후보,000720.KS,현대건설,2026-03-18,2026-05-28,164700.0,144600.0,,88.28,Rect Bottom,,,,-12.2,
매수후보,039200.KS,오스코텍,2026-03-16,2026-05-26,56600.0,54100.0,,84.96,Triple Bottom,,49496.83364488569,91362.46691151522,-4.42,
매수후보,023160.KS,태광,2026-03-20,2026-05-30,32200.0,34700.0,,81.54,Rect Bottom,,29554.753309254575,54552.886971867265,7.76,
매수후보,045100.KS,한양이엔지,2026-03-25,2026-06-04,34050.0,31650.0,,79.95,Rect Bottom,,28163.445378861707,51984.77674351974,-7.05,
매수후보,281820.KS,케이씨텍,2026-03-18,2026-05-28,51000.0,45900.0,,75.18,Rect Bottom,,,,-10.0,
매도패턴,005380.KS,현대차,2026-03-27,,485000.0,482500.0,,135.68,Rect Top,,,,-0.52,
매도패턴,329180.KS,HD현대중공업,2026-03-27,,502000.0,489000.0,,14.89,Rect Top,,,,-2.59,
매도패턴,267260.KS,HD현대일렉트릭,2026-03-27,,913000.0,899000.0,,78.19,Rect Top,,,,-1.53,
매도패턴,034730.KS,SK,2026-03-27,,329000.0,325500.0,,46.49,Rect Top,,,,-1.06,
매도패턴,180640.KS,한진칼,2026-03-27,,115971.42857142852,115200.0,,-2.54,H&S,,,,-0.67,
매도패턴,034220.KS,LG디스플레이,2026-03-27,,11190.0,11170.0,,22.08,Rect Top,,,,-0.18,
매도패턴,001440.KS,대한전선,2026-03-27,,28200.0,27600.0,,60.0,Rect Top,,,,-2.13,
매도패턴,004020.KS,현대제철,2026-03-27,,34500.0,34050.0,,13.5,Rect Top,,,,-1.3,
매도패턴,014680.KS,한솔케미칼,2026-03-27,,270500.0,266000.0,,59.28,Rect Top,,,,-1.66,
매도패턴,178320.KS,서진시스템,2026-03-27,,44250.0,41650.0,,93.72,Triple Top,,,,-5.88,
매도패턴,000120.KS,CJ대한통운,2026-03-27,,106800.0,106400.0,,20.09,Rect Top,,,,-0.37,
매도패턴,030000.KS,제일기획,2026-03-27,,19790.0,19615.0,,2.72,Triple Top,,,,-0.88,
매도패턴,348210.KS,넥스틴,2026-03-27,,71100.0,70400.0,,39.84,Rect Top,,,,-0.98,
매도패턴,102710.KS,이엔에프테크놀로지,2026-03-27,,50400.0,50000.0,,30.46,Triple Top,,,,-0.79,
매도패턴,214320.KS,이노션,2026-03-27,,18150.0,18060.0,,-7.79,Rect Top,,,,-0.5,
매도패턴,000640.KS,동아쏘시오홀딩스,2026-03-27,,98082.046875,97000.0,,-13.25,Rect Top,,,,-1.1,
매도패턴,029530.KS,신도리코,2026-03-27,,53100.0,51800.0,,2.64,Rect Top,,,,-2.45,
매도패턴,194480.KS,데브시스터즈,2026-03-27,,34500.0,32450.0,,-24.18,Triple Top,,,,-5.94,
매도패턴,344820.KS,KCC글라스,2026-03-27,,25259.508463541664,25200.0,,-20.98,H&S,,,,-0.24,
매도패턴,114810.KS,한솔아이원스,2026-03-27,,14080.0,13690.0,,51.77,Rect Top,,,,-2.77,
매도패턴,097520.KS,엠씨넥스,2026-03-27,,22100.0,21850.0,,-16.63,Rect Top,,,,-1.13,
매도패턴,017390.KS,서울가스,2026-03-27,,64300.0,63900.0,,11.71,Triple Top,,,,-0.62,
매도패턴,093520.KS,매커스,2026-03-27,,23100.0,22850.0,,53.83,Rect Top,,,,-1.08,
매도패턴,030210.KS,다올투자증권,2026-03-27,,4080.0,4005.0,,7.09,Rect Top,,,,-1.84,
매도패턴,013890.KS,지누스,2026-03-27,,11010.0,10790.0,,-38.17,Triple Top,,,,-2.0,
매도패턴,004560.KS,현대비앤지스틸,2026-03-27,,15800.0,15530.0,,29.31,Rect Top,,,,-1.71,
매도패턴,008490.KS,서흥,2026-03-27,,19790.0,19120.0,,-1.87,Triple Top,,,,-3.39,
매도패턴,003555.KS,LG우,2026-03-27,,68800.0,68200.0,,7.08,Rect Top,,,,-0.87,
매도패턴,005810.KS,풍산홀딩스,2026-03-26,,36500.0,34800.0,,-32.3,Triple Top,,,,-4.66,
매도패턴,122640.KS,예스티,2026-03-26,,21600.0,20300.0,,26.4,Triple Top,,,,-6.02,
매도패턴,012860.KS,모베이스전자,2026-03-26,,3570.0,3315.0,,123.68,Triple Top,,,,-7.14,
매도패턴,047050.KS,포스코인터내셔널,2026-03-25,,77900.0,73200.0,,51.53,H&S,,,,-6.03,
매도패턴,090430.KS,아모레퍼시픽,2026-03-25,,214771.4285714291,142200.0,,3.42,H&S,,,,-33.79,
매도패턴,229640.KS,LS에코에너지,2026-03-25,,46420.0,44600.0,,29.8,H&S,,,,-3.92,
매도패턴,033500.KS,동성화인텍,2026-03-25,,24800.0,22950.0,,-14.17,Triple Top,,,,-7.46,
매도패턴,015860.KS,일진홀딩스,2026-03-25,,7832.352941176476,6880.0,,16.61,H&S,,,,-12.16,
매도패턴,033920.KS,무학,2026-03-25,,9148.510602678572,8750.0,,11.84,H&S,,,,-4.36,
매도패턴,029780.KS,삼성카드,2026-03-24,,57300.0,54000.0,,6.93,Rect Top,,,,-5.76,
매도패턴,012030.KS,DB,2026-03-24,,1730.818181818182,1676.0,,6.01,H&S,,,,-3.17,
매도패턴,068270.KS,셀트리온,2026-03-23,,193355.55555555562,205500.0,,28.65,H&S,,,,6.28,
매도패턴,042700.KS,한미반도체,2026-03-23,,326125.0,265500.0,,175.41,H&S,,,,-18.59,
매도패턴,096770.KS,SK이노베이션,2026-03-23,,109000.0,110000.0,,-13.04,Rect Top,,,,0.92,
매도패턴,003550.KS,LG,2026-03-23,,87900.0,86200.0,,5.21,Triple Top,,,,-1.93,
매도패턴,352820.KS,하이브,2026-03-23,,302143.4821428573,300500.0,,-2.61,H&S,,,,-0.54,
매도패턴,039490.KS,키움증권,2026-03-23,,564000.0,425000.0,,88.5,H&S,,,,-24.65,
매도패턴,000880.KS,한화,2026-03-23,,113392.85714285714,108300.0,,-0.46,H&S,,,,-4.49,
매도패턴,214370.KS,케어젠,2026-03-23,,106500.0,94400.0,,164.06,Rect Top,,,,-11.36,
매도패턴,111770.KS,영원무역,2026-03-23,,80200.0,80600.0,,29.6,Triple Top,,,,0.5,
매도패턴,068760.KS,셀트리온제약,2026-03-23,,57554.7890625,57900.0,,9.32,Triple Top,,,,0.6,
매도패턴,000155.KS,두산우,2026-03-23,,489285.7142857136,489000.0,,40.11,H&S,,,,-0.06,
매도패턴,069960.KS,현대백화점,2026-03-23,,84400.0,83300.0,,8.66,Triple Top,,,,-1.3,
매도패턴,280360.KS,롯데웰푸드,2026-03-23,,109325.0,115900.0,,0.35,H&S,,,,6.01,
매도패턴,358570.KS,지아이이노베이션,2026-03-23,,13020.0,14410.0,,-29.19,Triple Top,,,,10.68,
매도패턴,00088K.KS,한화3우B,2026-03-23,,45100.0,44350.0,,-0.34,Rect Top,,,,-1.66,
매도패턴,093320.KS,케이아이엔엑스,2026-03-23,,99400.0,101800.0,,9.55,Rect Top,,,,2.41,
매도패턴,037460.KS,삼지전자,2026-03-23,,24106.25,25600.0,,121.84,H&S,,,,6.2,
매도패턴,101730.KS,위메이드맥스,2026-03-23,,5000.0,4970.0,,-35.62,Rect Top,,,,-0.6,
매도패턴,206640.KS,바디텍메드,2026-03-23,,11340.0,11590.0,,-16.62,Triple Top,,,,2.2,
매도패턴,081660.KS,미스토홀딩스,2026-03-19,,47000.0,39900.0,,12.32,Rect Top,,,,-15.11,
매도패턴,290650.KS,엘앤씨바이오,2026-03-19,,75800.0,72600.0,,166.63,Rect Top,,,,-4.22,
매도패턴,009160.KS,SIMPAC,2026-03-19,,4800.0,4800.0,,-51.27,Triple Top,,,,0.0,
매도패턴,003350.KS,한국화장품제조,2026-03-19,,45200.0,45450.0,,-19.49,Triple Top,,,,0.55,
매도패턴,032620.KS,유비케어,2026-03-18,,4886.666666666657,4000.0,,3.36,H&S,,,,-18.14,
매도패턴,082270.KS,젬백스,2026-03-16,,38000.0,39950.0,,-35.56,Triple Top,,,,5.13,
