구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,199800.KS,툴젠,2026-03-30,2026-05-27,60700.0,63500.0,,118.97,0.0,0.0,Triple Bottom,,47873.97624197903,85829.56708218607,4.61,
오늘신호,263750.KS,펄어비스,2026-03-30,2026-05-27,66100.0,67600.0,,58.69,0.0,0.0,Rect Bottom,,50965.0518733509,91371.31865757132,2.27,
매수,174900.KS,앱클론,2026-03-06,2026-05-03,65700.0,64500.0,,480.56,0.0,0.0,Rect Bottom,,45687.6056734477,81909.79157764529,-1.83,
매수,099320.KS,쎄트렉아이,2026-03-12,2026-05-09,192100.0,176400.0,,272.48,0.0,0.0,Rect Bottom,,146939.18062301909,263435.9468396546,-8.17,
매수,089970.KS,브이엠,2026-03-18,2026-05-15,43400.0,41350.0,,227.14,0.0,0.0,Rect Bottom,,33926.43985652057,60824.102656667295,-4.72,
매수,066970.KS,엘앤에프,2026-03-27,2026-05-24,136700.0,155900.0,,218.49,0.0,0.0,Triple Bottom,,116103.8163978704,208153.5957583725,14.05,
매수,368770.KS,파이버프로,2026-03-12,2026-05-09,18430.0,19650.0,,215.98,0.0,0.0,Rect Bottom,,14633.604391445873,26235.46294590916,6.62,
매수,356860.KS,티엘비,2026-03-18,2026-05-15,63600.0,66800.0,,202.13,0.0,0.0,Rect Bottom,,53679.16706187255,96237.2468701047,5.03,
매수,295310.KS,에이치브이엠,2026-03-10,2026-05-07,92000.0,87700.0,,199.32,0.0,0.0,Rect Bottom,,70491.60281299274,126378.9688532976,-4.67,
매수,131290.KS,티에스이,2026-03-17,2026-05-14,113411.05078125,112000.0,,191.04,0.0,0.0,Inv H&S,,88887.2724240839,159359.1489604683,-1.24,
매수,310210.KS,보로노이,2026-03-13,2026-05-10,334500.0,320000.0,,166.89,0.0,0.0,Rect Bottom,,266134.07265226135,477131.2941734123,-4.33,
매수,200710.KS,에이디테크놀로지,2026-03-23,2026-05-20,48800.0,53100.0,,165.77,0.0,0.0,Rect Bottom,,38902.317702143584,69744.97104631184,8.81,
매수,298380.KS,에이비엘바이오,2026-03-18,2026-05-15,183825.0,171600.0,,151.61,0.0,0.0,Inv H&S,,143244.96828308684,256812.87788370636,-6.65,
매수,166090.KS,하나머티리얼즈,2026-03-05,2026-05-02,64000.0,60000.0,,135.11,0.0,0.0,Rect Bottom,,50663.483519070716,90830.65996728983,-6.25,
매수,083650.KS,비에이치아이,2026-03-09,2026-05-06,93500.0,95700.0,,125.44,0.0,0.0,Triple Bottom,,79764.82970710837,143004.22357945333,2.35,
매수,064760.KS,티씨케이,2026-03-19,2026-05-16,236500.0,231000.0,,124.96,0.0,0.0,Triple Bottom,,182448.8543395106,327098.5076202997,-2.33,
매수,222800.KS,심텍,2026-03-19,2026-05-16,59400.0,51500.0,,119.12,0.0,0.0,Inv H&S,,45762.997762017745,82044.95625021566,-13.3,
매수,199800.KS,툴젠,2026-03-30,2026-05-27,60700.0,63500.0,,118.97,0.0,0.0,Triple Bottom,,47873.97624197903,85829.56708218607,4.61,
매수,037460.KS,삼지전자,2026-03-25,2026-05-22,23850.0,24200.0,,116.65,0.0,0.0,Rect Bottom,,20619.7362239075,36967.53794799668,1.47,
매수,053610.KS,프로텍,2026-03-25,2026-05-22,61000.0,52200.0,,115.64,0.0,0.0,Rect Bottom,,45386.03731916752,81369.1328873638,-14.43,
매수,178320.KS,서진시스템,2026-03-20,2026-05-17,46650.0,42000.0,,96.26,0.0,0.0,Rect Bottom,,35057.321185071254,62851.572745222875,-9.97,
매수,039200.KS,오스코텍,2026-03-18,2026-05-15,56600.0,52100.0,,81.85,0.0,0.0,Triple Bottom,,42294.96168779564,75827.38131197856,-7.95,
매수,045100.KS,한양이엔지,2026-03-25,2026-05-22,34050.0,31000.0,,77.72,0.0,0.0,Rect Bottom,,25180.95758239527,45145.00063850417,-8.96,
매수,237690.KS,에스티팜,2026-03-09,2026-05-06,160600.0,148800.0,,76.3,0.0,0.0,Rect Bottom,,128543.51101192794,230455.76673248387,-7.35,
매수,078160.KS,메디포스트,2026-03-18,2026-05-15,23200.0,23100.0,,71.11,0.0,0.0,Rect Bottom,,16963.219928260285,30412.051328333648,-0.43,
매수,023160.KS,태광,2026-03-23,2026-05-20,32200.0,34800.0,,68.95,0.0,0.0,Rect Bottom,,27518.112328066683,49335.1054881857,8.07,
매수,263750.KS,펄어비스,2026-03-30,2026-05-27,66100.0,67600.0,,58.69,0.0,0.0,Rect Bottom,,50965.0518733509,91371.31865757132,2.27,
매수,033640.KS,네패스,2026-03-25,2026-05-22,19490.0,17810.0,,54.07,0.0,0.0,Rect Bottom,,15304.59397971928,27438.42853178547,-8.62,
매수,336260.KS,두산퓨얼셀,2026-03-09,2026-05-06,36900.0,36050.0,,53.73,0.0,0.0,Triple Bottom,,29817.57102945308,53457.62800158204,-2.3,
매수,213420.KS,덕산네오룩스,2026-03-17,2026-05-14,45250.0,50400.0,,43.39,0.0,0.0,Rect Bottom,,35471.97767220651,63594.97844435992,11.38,
매수,020000.KS,한섬,2026-03-27,2026-05-24,24200.0,24100.0,,41.68,0.0,0.0,Rect Bottom,,19375.76676250175,34737.320850585544,-0.41,
매도패턴,005380.KS,현대차,2026-03-30,,475910.84375,469500.0,,133.78,0.0,0.0,Triple Top,,,,-1.35,
매도패턴,000810.KS,삼성화재,2026-03-30,,462000.0,445500.0,,5.44,0.0,0.0,H&S,,,,-3.57,
매도패턴,003550.KS,LG,2026-03-30,,87900.0,84800.0,,13.03,0.0,0.0,Triple Top,,,,-3.53,
매도패턴,180640.KS,한진칼,2026-03-30,,114857.14285714284,112500.0,,-13.99,0.0,0.0,H&S,,,,-2.05,
매도패턴,214450.KS,파마리서치,2026-03-30,,307500.0,303500.0,,-35.75,0.0,0.0,Rect Top,,,,-1.3,
매도패턴,178320.KS,서진시스템,2026-03-30,,44250.0,42000.0,,96.26,0.0,0.0,Triple Top,,,,-5.08,
