구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,281820.KS,케이씨텍,2026-04-13,2026-06-01,51000.0,51500.0,,87.01,0.6277,43.9,Rect Bottom,,,,0.98,
오늘신호,017960.KS,한국카본,2026-04-13,2026-06-01,47800.0,50700.0,,111.66,0.1169,38.25,Rect Bottom,,,,6.07,
오늘신호,078930.KS,GS,2026-04-13,2026-06-01,72601.7734375,72700.0,,52.98,-0.29,8.81,Triple Bottom,,,,0.14,
매수,079550.KS,LIG넥스원,2026-04-09,2026-05-28,860000.0,939000.0,,79.54,0.974,53.68,Rect Bottom,,832496.7495740771,1211650.4206218557,9.19,
매수,034020.KS,두산에너빌리티,2026-04-08,2026-05-27,100350.0,99300.0,,61.2,0.9307,53.17,Inv H&S,,93632.4995869271,136276.637195784,-1.05,
매수,281820.KS,케이씨텍,2026-04-13,2026-06-01,51000.0,51500.0,,87.01,0.6277,43.9,Rect Bottom,,,,0.98,
매수,278470.KS,에이피알,2026-04-09,2026-05-28,359500.0,399500.0,,172.86,-0.4978,42.25,Rect Bottom,,348900.32313610194,507804.0526875867,11.13,
매수,017960.KS,한국카본,2026-04-13,2026-06-01,47800.0,50700.0,,111.66,0.1169,38.25,Rect Bottom,,,,6.07,
매수,052690.KS,한전기술,2026-04-08,2026-05-27,167000.0,167200.0,,81.93,-0.2641,31.71,Rect Bottom,,159764.54474972177,232527.968362037,0.12,
매수,001720.KS,신영증권,2026-04-08,2026-05-27,182375.0,202000.0,,64.36,-0.0216,29.05,Inv H&S,,191754.86928391663,279088.01823312405,10.76,
매수,000720.KS,현대건설,2026-04-08,2026-05-27,159900.0,176000.0,,138.81,-0.5671,23.53,Rect Bottom,,170708.60314299894,248456.40647582995,10.07,
매수,047810.KS,한국항공우주,2026-04-09,2026-05-28,197600.0,192500.0,,116.54,-0.5325,22.63,Rect Bottom,,188481.0056619961,274323.1008486561,-2.58,
매수,006260.KS,LS,2026-04-10,2026-05-29,291500.0,293500.0,,58.56,-0.3939,17.38,Rect Bottom,,268924.51180061477,391403.92800986907,0.69,
매수,003470.KS,유안타증권,2026-04-08,2026-05-27,4710.0,4785.0,,27.77,0.7403,14.32,Inv H&S,,4545.9934864382185,6616.428139575526,1.59,
매수,007070.KS,GS리테일,2026-04-09,2026-05-28,21900.0,22050.0,,30.34,0.3506,11.18,Inv H&S,,20812.418739351928,30291.26051554639,0.68,
매수,078930.KS,GS,2026-04-13,2026-06-01,72601.7734375,72700.0,,52.98,-0.29,8.81,Triple Bottom,,,,0.14,
매수,011070.KS,LG이노텍,2026-04-08,2026-05-27,345000.0,361500.0,,136.43,-0.9567,3.37,Rect Bottom,,321306.32975134323,467642.6061613566,4.78,
매수,017670.KS,SK텔레콤,2026-04-08,2026-05-27,82300.0,92500.0,,63.03,-0.5758,2.09,Rect Bottom,,86991.23338245974,126610.66193014896,12.39,
매수,139130.KS,iM금융지주,2026-04-10,2026-05-29,17670.0,18150.0,,39.75,0.0563,0.88,Triple Bottom,,16837.012912734142,24505.289405835283,2.72,
매수,082640.KS,동양생명,2026-03-27,2026-05-15,8480.0,8750.0,,29.63,0.4632,-3.68,Rect Bottom,,8222.07463905184,11966.749659849564,3.18,
매수,241560.KS,두산밥캣,2026-04-09,2026-05-28,67000.0,68200.0,,26.2,-0.2814,-21.82,Rect Bottom,,65009.57763527905,94617.645205864,1.79,
매도패턴,267250.KS,HD현대,2026-04-14,,307551.61458333395,244000.0,,100.12,0.0,0.0,H&S,,,,-20.66,
매도패턴,023530.KS,롯데쇼핑,2026-04-14,,105333.33333333302,104400.0,,35.23,0.0,0.0,H&S,,,,-0.89,
매도패턴,030190.KS,NICE평가정보,2026-04-08,,15630.0,14920.0,,-11.35,0.0,0.0,Triple Top,,,,-4.54,
매도패턴,071050.KS,한국금융지주,2026-04-07,,214114.0625,246000.0,,84.32,0.0,0.0,H&S,,,,14.89,
매도패턴,180640.KS,한진칼,2026-04-07,,107800.0,110100.0,,-6.46,0.0,0.0,Rect Top,,,,2.13,
매도패턴,039490.KS,키움증권,2026-04-06,,564000.0,462500.0,,115.71,0.0,0.0,H&S,,,,-18.0,
매도패턴,000120.KS,CJ대한통운,2026-04-06,,113614.28571428591,103100.0,,12.8,0.0,0.0,H&S,,,,-9.25,
매도패턴,009970.KS,영원무역홀딩스,2026-04-03,,214000.0,210000.0,,52.52,0.0,0.0,Triple Top,,,,-1.87,
매도패턴,034230.KS,파라다이스,2026-04-03,,15550.0,15160.0,,-1.66,0.0,0.0,Triple Top,,,,-2.51,
매도패턴,352820.KS,하이브,2026-04-02,,280103.25,250000.0,,-9.78,0.0,0.0,Rect Top,,,,-10.75,
매도패턴,029780.KS,삼성카드,2026-04-02,,51700.0,53100.0,,3.11,0.0,0.0,Triple Top,,,,2.71,
매도패턴,090430.KS,아모레퍼시픽,2026-04-01,,201414.28571428545,130600.0,,-5.02,0.0,0.0,H&S,,,,-35.16,
매도패턴,008770.KS,호텔신라,2026-04-01,,51096.66666666663,48550.0,,-5.54,0.0,0.0,H&S,,,,-4.98,
매도패턴,089860.KS,롯데렌탈,2026-04-01,,31450.0,31650.0,,-9.57,0.0,0.0,Triple Top,,,,0.64,
손절하락,011170.KS,롯데케미칼,2026-04-09,2026-05-28,97000.0,88600.0,,30.91,0.0,0.0,"Triple Bottom (손절 6% 이탈, -8.7%)",,90732.79180751176,132056.28179811235,-8.66,
매도전환,030190.KS,NICE평가정보,2026-04-01,,16720.0,14920.0,2026-04-13,,,,,,,,-10.77,
매도전환,138040.KS,메리츠금융지주,2026-02-12,,135000.0,115600.0,2026-04-10,,,,,,,,-14.37,
매도전환,000240.KS,한국앤컴퍼니,2026-02-20,,34650.0,24950.0,2026-04-10,,,,,,,,-27.99,
매도전환,034230.KS,파라다이스,2026-02-10,,21250.0,15170.0,2026-04-10,,,,,,,,-28.61,
매도전환,180640.KS,한진칼,2026-02-25,,173000.0,110700.0,2026-04-09,,,,,,,,-36.01,
매도전환,000810.KS,삼성화재,2026-02-19,,570000.0,468000.0,2026-04-08,,,,,,,,-17.89,
매도전환,066575.KS,LG전자우,2026-02-23,,62700.0,52600.0,2026-04-08,,,,,,,,-16.11,
매도전환,005387.KS,현대차2우B,2026-01-13,,246894.640625,235500.0,2026-04-07,,,,,,,,-4.62,
매도전환,005385.KS,현대차우,2026-01-14,,247403.703125,237500.0,2026-04-07,,,,,,,,-4.0,
매도전환,111770.KS,영원무역,2026-02-12,,91400.0,81500.0,2026-04-07,,,,,,,,-10.83,
매도전환,000815.KS,삼성화재우,2026-02-19,,431000.0,364000.0,2026-04-07,,,,,,,,-15.55,
매도전환,195870.KS,해성디에스,2026-02-02,,62400.0,52000.0,2026-04-07,,,,,,,,-16.67,
매도전환,069960.KS,현대백화점,2026-02-10,,108200.0,76000.0,2026-04-06,,,,,,,,-29.76,
매도전환,329180.KS,HD현대중공업,2026-01-16,,617821.9375,479500.0,2026-04-03,,,,,,,,-22.39,
매도전환,064350.KS,현대로템,2026-03-10,,207500.0,210000.0,2026-04-03,,,,,,,,1.2,
take_profit,006110.KS,삼아알미늄,2026-04-07,2026-04-08,34400.0,52875.0,2026-04-10,,,,,,,,53.71,
take_profit,079900.KS,전진건설로봇,2026-01-30,2026-02-02,49190.35990590898,68500.0,2026-04-09,,,,,,,,39.25,
stop_loss,005830.KS,DB손해보험,2026-02-06,2026-02-09,172100.0,170250.0,2026-04-08,,,,,,,,-1.07,
stop_loss,035250.KS,강원랜드,2026-02-05,2026-02-06,17710.0,16845.0,2026-04-08,,,,,,,,-4.88,
take_profit,028050.KS,삼성E&A,2026-01-30,2026-02-02,30450.0,49100.0,2026-04-07,,,,,,,,61.25,
stop_loss,005385.KS,현대차우,2026-01-14,2026-01-15,247899.5115348399,241000.0,2026-04-01,,,,,,,,-2.78,
stop_loss,014680.KS,한솔케미칼,2026-01-27,2026-01-28,273500.0,275250.0,2026-04-01,,,,,,,,0.64,
stop_loss,003550.KS,LG,2026-01-23,2026-01-26,93700.0,83150.0,2026-03-31,,,,,,,,-11.26,
stop_loss,000815.KS,삼성화재우,2026-03-03,2026-03-04,400000.0,361750.0,2026-03-31,,,,,,,,-9.56,
stop_loss,064350.KS,현대로템,2026-03-10,2026-03-11,203500.0,178650.0,2026-03-30,,,,,,,,-12.21,
stop_loss,111770.KS,영원무역,2026-02-12,2026-02-13,91400.0,79350.0,2026-03-30,,,,,,,,-13.18,
take_profit,120110.KS,코오롱인더,2026-02-02,2026-02-03,53276.21580497383,75850.0,2026-03-30,,,,,,,,42.37,
take_profit,012630.KS,HDC,2026-02-09,2026-02-10,19840.0,27800.0,2026-03-30,,,,,,,,40.12,
take_profit,011930.KS,신성이엔지,2026-02-03,2026-02-04,1839.0,2580.0,2026-03-30,,,,,,,,40.29,
stop_loss,012450.KS,한화에어로스페이스,2026-03-10,2026-03-11,1459000.0,1318000.0,2026-03-27,,,,,,,,-9.66,
stop_loss,089860.KS,롯데렌탈,2026-02-11,2026-02-12,33650.0,32025.0,2026-03-10,,,,,,,,-4.83,
stop_loss,005490.KS,POSCO홀딩스,2026-01-20,2026-01-21,348344.3875534188,347750.0,2026-03-05,,,,,,,,-0.17,
stop_loss,000810.KS,삼성화재,2026-02-25,2026-02-26,546000.0,491250.0,2026-03-05,,,,,,,,-10.03,
stop_loss,011200.KS,HMM,2026-02-20,2026-02-23,22507.46309912854,21175.0,2026-03-05,,,,,,,,-5.92,
stop_loss,033780.KS,KT&G,2026-02-09,2026-02-10,166817.5879360465,156950.0,2026-03-05,,,,,,,,-5.92,
stop_loss,066570.KS,LG전자,2026-02-23,2026-02-24,134700.0,117300.0,2026-03-05,,,,,,,,-12.92,
stop_loss,090430.KS,아모레퍼시픽,2026-02-05,2026-02-06,138400.0,131600.0,2026-03-05,,,,,,,,-4.91,
stop_loss,032640.KS,LG유플러스,2026-02-03,2026-02-04,16090.0,15445.0,2026-03-05,,,,,,,,-4.01,
stop_loss,377300.KS,카카오페이,2026-01-30,2026-02-02,65200.0,59000.0,2026-03-05,,,,,,,,-9.51,
stop_loss,241560.KS,두산밥캣,2026-02-10,2026-02-11,62300.0,56800.0,2026-03-05,,,,,,,,-8.83,
stop_loss,128940.KS,한미약품,2026-02-04,2026-02-05,557000.0,516000.0,2026-03-05,,,,,,,,-7.36,
stop_loss,001040.KS,CJ,2026-02-04,2026-02-05,204000.0,190450.0,2026-03-05,,,,,,,,-6.64,
stop_loss,271560.KS,오리온,2026-02-24,2026-02-25,137100.0,125700.0,2026-03-05,,,,,,,,-8.32,
stop_loss,082740.KS,한화엔진,2026-01-19,2026-01-20,54600.0,47625.0,2026-03-05,,,,,,,,-12.77,
stop_loss,017800.KS,현대엘리베이터,2026-02-06,2026-02-09,92007.03125,87050.0,2026-03-05,,,,,,,,-5.39,
stop_loss,012750.KS,에스원,2026-02-09,2026-02-10,90300.0,85100.0,2026-03-05,,,,,,,,-5.76,
stop_loss,031210.KS,서울보증보험,2026-02-27,2026-03-03,57700.0,55650.0,2026-03-05,,,,,,,,-3.55,
stop_loss,139130.KS,iM금융지주,2026-02-10,2026-02-11,18076.069632804505,17150.0,2026-03-05,,,,,,,,-5.12,
stop_loss,112610.KS,씨에스윈드,2026-02-26,2026-02-27,53000.0,46425.0,2026-03-05,,,,,,,,-12.41,
stop_loss,192820.KS,코스맥스,2026-01-14,2026-01-15,179900.0,168250.0,2026-03-05,,,,,,,,-6.48,
stop_loss,005440.KS,현대지에프홀딩스,2026-02-23,2026-02-24,15150.0,14715.0,2026-03-05,,,,,,,,-2.87,
stop_loss,007070.KS,GS리테일,2026-02-10,2026-02-11,22315.319107289386,19290.0,2026-03-05,,,,,,,,-13.56,
stop_loss,005070.KS,코스모신소재,2026-03-03,2026-03-04,49100.0,48400.0,2026-03-05,,,,,,,,-1.43,
stop_loss,069620.KS,대웅제약,2026-02-20,2026-02-23,174400.0,164950.0,2026-03-05,,,,,,,,-5.42,
