티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,299500.0,286541.6666666665,2026-01-29,2026-03-30,648.75,Inv H&S,,0.0,275280.0,370000.0
174900.KQ,앱클론,64700.0,57600.0,2026-01-23,2026-03-24,526.94,Rect Bottom,,0.0,60263.99999999999,81000.0
445680.KQ,큐리옥스바이오시스템즈,121600.0,119500.0,2026-01-21,2026-03-22,366.79,Triple Bottom,,0.0,112808.99999999999,151625.0
298040.KS,효성중공업,2364000.0,2328000.0,2026-01-16,2026-03-17,348.58,Rect Bottom,,0.0,2194800.0,2950000.0
397030.KQ,에이프릴바이오,61700.0,57300.0,2026-01-28,2026-03-29,285.62,Rect Bottom,,0.0,53103.0,71375.0
115180.KQ,큐리언트,35600.0,31450.0,2026-01-28,2026-03-29,256.71,Rect Bottom,,0.0,32270.999999999996,43375.0
222800.KQ,심텍,62700.0,57384.421875,2026-01-28,2026-03-29,255.35,Triple Bottom,,0.0,57659.99999999999,77500.0
195870.KS,해성디에스,65300.0,58500.0,2026-01-26,2026-03-27,232.32,Rect Bottom,,0.0,53754.0,72250.0
267250.KS,HD현대,227500.0,226500.0,2026-01-12,2026-03-13,185.28,Rect Bottom,,0.0,211110.0,283750.0
002020.KS,코오롱,63100.0,55700.0,2026-01-29,2026-03-30,179.82,Rect Bottom,,0.0,53847.0,72375.0
102940.KQ,코오롱생명과학,68200.0,61200.0,2026-01-27,2026-03-28,178.94,Rect Bottom,,0.0,55613.99999999999,74750.0
078350.KQ,한양디지텍,28900.0,25750.0,2026-01-27,2026-03-28,173.42,Triple Bottom,,0.0,24924.0,33500.0
004800.KS,효성,143200.0,140700.0,2026-01-15,2026-03-16,171.21,Triple Bottom,,0.0,137640.0,185000.0
115310.KQ,인포바인,82300.0,74788.890625,2026-01-20,2026-03-21,160.41,Triple Bottom,,0.0,67890.0,91250.0
267260.KS,HD현대일렉트릭,880000.0,868000.0,2026-01-12,2026-03-13,159.08,Rect Bottom,,0.0,833280.0,1120000.0
033640.KQ,네패스,18180.0,17950.0,2026-01-29,2026-03-30,154.62,Triple Bottom,,0.0,17763.0,23875.0
010120.KS,LS ELECTRIC,578000.0,518000.0,2026-01-14,2026-03-15,151.3,Rect Bottom,,0.0,498479.99999999994,670000.0
089970.KQ,브이엠,29600.0,29950.0,2026-01-29,2026-03-30,144.43,Rect Bottom,,0.0,27156.0,36500.0
014680.KS,한솔케미칼,284500.0,252000.0,2026-01-20,2026-03-21,142.95,Triple Bottom,,0.0,239009.99999999997,321250.0
170920.KQ,엘티씨,25850.0,23600.0,2026-01-21,2026-03-22,139.53,Rect Bottom,,0.0,22180.5,29812.5
032350.KS,롯데관광개발,25650.0,23600.0,2026-01-22,2026-03-23,138.6,Rect Bottom,,0.0,21855.0,29375.0
071050.KS,한국금융지주,209000.0,182300.0,2026-01-16,2026-03-17,137.5,Rect Bottom,,0.0,170283.0,228875.0
062040.KS,산일전기,143500.0,147100.0,2026-01-30,2026-03-31,136.41,Triple Bottom,,0.0,135222.0,181750.0
001440.KS,대한전선,27850.0,27100.0,2026-01-20,2026-03-21,133.84,Rect Bottom,,0.0,25900.5,34812.5
042700.KS,한미반도체,193000.0,186500.0,2026-01-29,2026-03-30,132.53,Rect Bottom,,0.0,185907.0,249875.0
499790.KS,GS피앤엘,52500.0,51500.0,2026-02-03,2026-04-04,129.76,Rect Bottom,,0.0,48825.0,65625.0
034730.KS,SK,312750.0,301500.0,2026-01-28,2026-03-29,126.98,Rect Bottom,,0.0,298530.0,401250.0
300080.KQ,플리토,16340.0,16980.0,2026-01-28,2026-03-29,126.94,Triple Bottom,,0.0,16042.499999999998,21562.5
009155.KS,삼성전기우,126200.0,127008.0,2026-01-15,2026-03-16,125.53,Rect Bottom,,0.0,120434.99999999999,161875.0
071055.KS,한국금융지주우,146500.0,138500.0,2026-01-23,2026-03-24,121.97,Rect Bottom,,0.0,133362.0,179250.0
