구분,티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가,손익률(%)
매수,042520.KS,한스바이오메드,55700.0,50700.0,2026-03-18,2026-06-09,504.12,Rect Bottom,,0.0,45454.18614911213,99182.05946254956,9.86
매수,226950.KS,올릭스,181800.0,179542.8571428568,2026-02-27,2026-05-21,366.75,Inv H&S,,0.0,155273.5351474334,338810.3561118064,1.26
매수,089970.KS,브이엠,48800.0,43400.0,2026-03-18,2026-06-09,292.91,Rect Bottom,,0.0,38161.163744590405,83268.52007117034,12.44
매수,099320.KS,쎄트렉아이,186200.0,192100.0,2026-03-12,2026-06-03,276.52,Rect Bottom,,0.0,,,-3.07
매수,295310.KS,에이치브이엠,92200.0,92000.0,2026-03-10,2026-06-01,249.91,Rect Bottom,,0.0,79290.41800264896,173013.4805923206,0.22
매수,084370.KS,유진테크,131900.0,137700.0,2026-03-05,2026-05-27,237.34,Rect Bottom,,0.0,124659.801565662,272010.49889915646,-4.21
매수,131290.KS,티에스이,124800.0,113411.05078125,2026-03-17,2026-06-08,229.41,Inv H&S,,0.0,99982.24901082687,218163.5225864663,10.04
매수,310210.KS,보로노이,320000.0,334500.0,2026-03-13,2026-06-04,208.29,Rect Bottom,,0.0,299353.12892978697,653195.2796694029,-4.33
매수,005935.KS,삼성전자우,144200.0,148700.0,2026-03-18,2026-06-09,207.59,Triple Bottom,,0.0,121861.31622439204,265904.14076060394,-3.03
매수,100790.KS,미래에셋벤처투자,22850.0,23850.0,2026-03-18,2026-06-09,194.84,Rect Bottom,,0.0,19631.798681939286,42837.0275477243,-4.19
매수,080220.KS,제주반도체,42900.0,47300.0,2026-02-26,2026-05-20,185.05,Rect Bottom,,0.0,40747.64262061265,88912.27532043855,-9.3
매수,200710.KS,에이디테크놀로지,46600.0,47200.0,2026-03-11,2026-06-02,184.49,Triple Bottom,,0.0,39475.603829126296,86136.65798473287,-1.27
매수,007660.KS,이수페타시스,129500.0,127600.0,2026-03-19,2026-06-10,183.99,Rect Bottom,,0.0,109819.34899832128,239628.29664925687,1.49
매수,298380.KS,에이비엘바이오,190000.0,183825.0,2026-03-18,2026-06-09,179.0,Inv H&S,,0.0,161124.9135882706,351578.19585605257,3.36
매수,005380.KS,현대차,522000.0,525692.3125,2026-02-25,2026-05-19,165.73,Rect Bottom,,0.0,486766.84420877544,1062136.2337967062,-0.7
매수,095610.KS,테스,66100.0,73800.0,2026-02-26,2026-05-20,162.75,Rect Bottom,,0.0,61990.69043843464,135265.08482672338,-10.43
매수,033240.KS,자화전자,39150.0,44250.0,2026-03-11,2026-06-02,160.48,Rect Bottom,,0.0,37101.13141835178,80955.50562474894,-11.53
매수,307950.KS,현대오토에버,426000.0,501000.0,2026-02-26,2026-05-20,152.52,Rect Bottom,,0.0,419772.8011904945,915953.7207828738,-14.97
매수,003160.KS,디아이,38450.0,36600.0,2026-03-18,2026-06-09,151.33,Rect Bottom,,0.0,30528.930995672326,66614.81605693627,5.05
매수,064760.KS,티씨케이,242500.0,236500.0,2026-03-16,2026-06-07,146.13,Triple Bottom,,0.0,212006.4652477245,462602.88928427966,2.54
매수,222800.KS,심텍,60100.0,59400.0,2026-03-19,2026-06-10,145.8,Inv H&S,,0.0,50966.35424555297,111209.73458394084,1.18
매수,083650.KS,비에이치아이,104300.0,93500.0,2026-03-09,2026-05-31,144.55,Triple Bottom,,0.0,89721.136092837,195773.54274510714,11.55
매수,166090.KS,하나머티리얼즈,59100.0,64000.0,2026-03-05,2026-05-27,132.03,Rect Bottom,,0.0,56987.33785858834,124347.65663961438,-7.66
매수,357780.KS,솔브레인,422000.0,429000.0,2026-02-26,2026-05-20,129.47,Rect Bottom,,0.0,360835.00385162706,787350.117561844,-1.63
매수,000720.KS,현대건설,169500.0,164700.0,2026-03-18,2026-06-09,124.5,Rect Bottom,,0.0,141874.72654377721,309573.85350903997,2.91
매수,101490.KS,에스앤에스텍,85900.0,94900.0,2026-03-03,2026-05-25,118.69,Triple Bottom,,0.0,78781.60248605441,171903.2336580383,-9.48
매수,105840.KS,우진,26150.0,27650.0,2026-03-13,2026-06-04,116.62,Rect Bottom,,0.0,,,-5.42
매수,036540.KS,SFA반도체,7070.0,7470.0,2026-02-26,2026-05-20,116.54,Rect Bottom,,0.0,6682.443784608276,14581.243070240494,-5.35
매수,178320.KS,서진시스템,45400.0,39950.0,2026-02-27,2026-05-21,112.65,Rect Bottom,,0.0,39263.59736387857,85674.0550954486,13.64
매수,039200.KS,오스코텍,57500.0,56600.0,2026-03-16,2026-06-07,106.09,Triple Bottom,,0.0,49779.11804016571,108619.15840394887,1.59
매수후보,253590.KS,네오셈,18750.0,18770.0,2026-03-11,2026-06-02,105.14,Rect Bottom,,0.0,16731.550237350417,36508.62002231535,-0.11
매수후보,047810.KS,한국항공우주,190400.0,197600.0,2026-03-17,2026-06-08,100.42,Triple Bottom,,0.0,,,-3.64
매수후보,006110.KS,삼아알미늄,34500.0,32750.0,2026-03-13,2026-06-04,95.22,Rect Bottom,,0.0,,,5.34
매수후보,078160.KS,메디포스트,23200.0,23200.0,2026-03-18,2026-06-09,94.3,Rect Bottom,,0.0,19080.581872295203,41634.26003558517,0.0
매수후보,281820.KS,케이씨텍,50800.0,51000.0,2026-03-18,2026-06-09,94.25,Rect Bottom,,0.0,41807.67494685127,91225.28976685995,-0.39
매수후보,160980.KS,싸이맥스,23950.0,23050.0,2026-03-18,2026-06-09,92.99,Rect Bottom,,0.0,20183.01549158337,44039.79505986343,3.9
매수후보,237690.KS,에스티팜,149500.0,160600.0,2026-03-09,2026-05-31,85.02,Rect Bottom,,0.0,144588.4092989481,315495.17049187876,-6.91
매수후보,417310.KS,코람코더원리츠,9380.0,9360.0,2026-03-19,2026-06-10,84.07,Triple Bottom,,0.0,7954.482576094622,17356.860405946172,0.21
매수후보,073490.KS,이노와이어리스,39900.0,35800.0,2026-03-10,2026-06-01,77.73,Rect Bottom,,0.0,32903.40340644684,71795.96841692021,11.45
매수후보,217730.KS,강스템바이오텍,2650.0,2345.0,2026-03-11,2026-06-02,75.26,Rect Bottom,,0.0,2141.2652990020174,4672.289181771224,13.01
매도,081660.KS,미스토홀딩스,44450.0,47000.0,2026-03-19,,37.18,Rect Top,,0.0,,,-5.43
매도,290650.KS,엘앤씨바이오,75400.0,75800.0,2026-03-19,,160.21,Rect Top,,0.0,,,-0.53
매도,00088K.KS,한화3우B,47850.0,48403.57142857142,2026-03-19,,19.92,H&S,,0.0,,,-1.14
매도,009160.KS,SIMPAC,4700.0,4800.0,2026-03-19,,-51.75,Triple Top,,0.0,,,-2.08
매도,003350.KS,한국화장품제조,43800.0,45200.0,2026-03-19,,-23.62,Triple Top,,0.0,,,-3.1
매도,032620.KS,유비케어,3985.0,4886.666666666657,2026-03-18,,-1.73,H&S,,0.0,,,-18.45
매도,082270.KS,젬백스,38200.0,38000.0,2026-03-16,,-40.03,Triple Top,,0.0,,,0.53
매도,051910.KS,LG화학,303500.0,300000.0,2026-03-13,,49.88,Rect Top,,0.0,,,1.17
매도,064350.KS,현대로템,186300.0,200000.0,2026-03-13,,-12.94,Triple Top,,0.0,,,-6.85
매도,011170.KS,롯데케미칼,82400.0,71200.0,2026-03-13,,36.57,Rect Top,,0.0,,,15.73
매도,145020.KS,휴젤,262000.0,243500.0,2026-03-13,,-28.9,Triple Top,,0.0,,,7.6
매도,105630.KS,한세실업,12140.0,12290.0,2026-03-13,,16.17,Rect Top,,0.0,,,-1.22
매도,103140.KS,풍산,99900.0,107400.0,2026-03-11,,-26.54,Triple Top,,0.0,,,-6.98
매도,336370.KS,솔루스첨단소재,8180.0,10433.75,2026-03-11,,-4.42,H&S,,0.0,,,-21.6
매도,088260.KS,이리츠코크렙,4875.0,4840.7692307692305,2026-03-11,,17.78,H&S,,0.0,,,0.71
매도,039200.KS,오스코텍,57500.0,50300.0,2026-03-10,,106.09,Triple Top,,0.0,,,14.31
매도,161890.KS,한국콜마,69800.0,67300.0,2026-03-09,,-22.7,Triple Top,,0.0,,,3.71
매도,00104K.KS,CJ4우(전환),171100.0,150800.0,2026-03-09,,31.51,Triple Top,,0.0,,,13.46
매도,029460.KS,케이씨,32550.0,30987.724609375,2026-03-09,,40.95,Triple Top,,0.0,,,5.04
매도,005710.KS,대원산업,12990.0,12720.0,2026-03-09,,22.53,Triple Top,,0.0,,,2.12
매도,290740.KS,액트로,22700.0,23250.0,2026-03-09,,340.47,Triple Top,,0.0,,,-2.37
매도,039570.KS,HDC랩스,8530.0,8090.0,2026-03-09,,-10.68,Triple Top,,0.0,,,5.44
매도,035720.KS,카카오,50000.0,56121.359375,2026-03-05,,-25.93,Triple Top,,0.0,,,-10.91
매도,326030.KS,SK바이오팜,97500.0,108500.0,2026-03-05,,4.95,Triple Top,,0.0,,,-10.14
매도,064400.KS,LG씨엔에스,64900.0,67500.0,2026-03-05,,-32.38,Triple Top,,0.0,,,-3.85
매도,022100.KS,포스코DX,31750.0,37550.0,2026-03-05,,33.12,Triple Top,,0.0,,,-15.45
매도,041510.KS,에스엠,97100.0,105400.0,2026-03-05,,-26.2,Triple Top,,0.0,,,-7.87
매도,298020.KS,효성티앤씨,388500.0,378000.0,2026-03-05,,60.77,Triple Top,,0.0,,,2.78
매도,122870.KS,와이지엔터테인먼트,60100.0,69800.0,2026-03-05,,-35.38,Triple Top,,0.0,,,-13.9
매도,137400.KS,피엔티,46750.0,48100.0,2026-03-05,,48.93,Triple Top,,0.0,,,-2.81
매도,075580.KS,세진중공업,16940.0,17770.0,2026-03-05,,40.7,Triple Top,,0.0,,,-4.67
매도,079900.KS,전진건설로봇,52800.0,55357.65625,2026-03-05,,5.8,Triple Top,,0.0,,,-4.62
매도,053030.KS,바이넥스,12400.0,14690.0,2026-03-05,,-24.16,Triple Top,,0.0,,,-15.59
매도,294570.KS,쿠콘,29600.0,31800.0,2026-03-05,,4.41,Triple Top,,0.0,,,-6.92
매도,126600.KS,BGF에코머티리얼즈,3470.0,3801.51123046875,2026-03-05,,15.98,Triple Top,,0.0,,,-8.72
매도,373220.KS,LG에너지솔루션,371000.0,380000.0,2026-03-04,,27.49,Triple Top,,0.0,,,-2.37
매도,034020.KS,두산에너빌리티,106300.0,86200.0,2026-03-04,,54.96,Triple Top,,0.0,,,23.32
매도,329180.KS,HD현대중공업,567000.0,530413.0625,2026-03-04,,29.37,Rect Top,,0.0,,,6.9
매도,028260.KS,삼성물산,291000.0,289500.0,2026-03-04,,82.2,Triple Top,,0.0,,,0.52
매도,042660.KS,한화오션,130000.0,129700.0,2026-03-04,,50.64,Triple Top,,0.0,,,0.23
매도,010140.KS,삼성중공업,28500.0,23800.0,2026-03-04,,71.17,Triple Top,,0.0,,,19.75
매도,000810.KS,삼성화재,478500.0,470000.0,2026-03-04,,12.46,Triple Top,,0.0,,,1.81
매도,196170.KS,알테오젠,360000.0,361000.0,2026-03-04,,-7.61,Rect Top,,0.0,,,-0.28
매도,047810.KS,한국항공우주,190400.0,160000.0,2026-03-04,,100.42,Triple Top,,0.0,,,19.0
매도,018260.KS,삼성에스디에스,161500.0,165500.0,2026-03-04,,-14.19,Triple Top,,0.0,,,-2.42
매도,259960.KS,크래프톤,232000.0,227567.359375,2026-03-04,,-34.65,Triple Top,,0.0,,,1.95
매도,298380.KS,에이비엘바이오,190000.0,177100.0,2026-03-04,,179.0,Rect Top,,0.0,,,7.28
매도,000100.KS,유한양행,98700.0,104045.09375,2026-03-04,,-1.85,Triple Top,,0.0,,,-5.14
매도,028300.KS,HLB,50400.0,51283.33333333334,2026-03-04,,1.72,H&S,,0.0,,,-1.72
매도,241560.KS,두산밥캣,61800.0,57700.0,2026-03-04,,20.06,Triple Top,,0.0,,,7.11
매도,088980.KS,맥쿼리인프라,11440.0,11140.0,2026-03-04,,3.06,Triple Top,,0.0,,,2.69
매도,021240.KS,코웨이,73000.0,75300.0,2026-03-04,,-23.08,Triple Top,,0.0,,,-3.05
매도,062040.KS,산일전기,151700.0,136200.0,2026-03-04,,76.81,Triple Top,,0.0,,,11.38
매도,251270.KS,넷마블,51000.0,47759.82421875,2026-03-04,,-14.4,Triple Top,,0.0,,,6.78
매도,347850.KS,디앤디파마텍,78900.0,77500.0,2026-03-04,,-41.38,Rect Top,,0.0,,,1.81
매도,011780.KS,금호석유화학,134200.0,121733.74573863635,2026-03-04,,22.05,H&S,,0.0,,,10.24
매도,036460.KS,한국가스공사,36250.0,38100.0,2026-03-04,,-1.3,Triple Top,,0.0,,,-4.86
매도,097950.KS,CJ제일제당,200000.0,206082.0,2026-03-04,,-14.23,Triple Top,,0.0,,,-2.95
매도,071970.KS,HD현대마린엔진,77600.0,79900.0,2026-03-04,,43.7,Triple Top,,0.0,,,-2.88
매도,051600.KS,한전KPS,61400.0,54300.0,2026-03-04,,1.66,Triple Top,,0.0,,,13.08
매도,068760.KS,셀트리온제약,60200.0,58000.0,2026-03-04,,21.04,Rect Top,,0.0,,,3.79
매도,064760.KS,티씨케이,242500.0,204500.0,2026-03-04,,146.13,Triple Top,,0.0,,,18.58
매도,008930.KS,한미사이언스,37600.0,36250.0,2026-03-04,,-17.0,Triple Top,,0.0,,,3.72
매도,026960.KS,동서,25650.0,25150.0,2026-03-04,,1.36,Rect Top,,0.0,,,1.99
매도,204320.KS,HL만도,53000.0,58000.0,2026-03-04,,57.5,Triple Top,,0.0,,,-8.62
매도,004800.KS,효성,145000.0,137300.0,2026-03-04,,122.08,Triple Top,,0.0,,,5.61
매도,030000.KS,제일기획,20950.0,20600.0,2026-03-04,,8.9,Triple Top,,0.0,,,1.7
매도,257720.KS,실리콘투,36500.0,37900.0,2026-03-04,,-36.63,Triple Top,,0.0,,,-3.69
매도,018670.KS,SK가스,249000.0,221500.0,2026-03-04,,-2.75,Triple Top,,0.0,,,12.42
매도,192820.KS,코스맥스,179200.0,162300.0,2026-03-04,,-35.89,Triple Top,,0.0,,,10.41
매도,101490.KS,에스앤에스텍,85900.0,83200.0,2026-03-04,,118.69,Triple Top,,0.0,,,3.25
매도,069620.KS,대웅제약,160000.0,160700.0,2026-03-04,,5.84,Triple Top,,0.0,,,-0.44
매도,361610.KS,SK아이이테크놀로지,21750.0,23400.0,2026-03-04,,-16.83,Triple Top,,0.0,,,-7.05
매도,006280.KS,녹십자,145200.0,150900.0,2026-03-04,,14.69,Triple Top,,0.0,,,-3.78
매도,008770.KS,호텔신라,43300.0,44300.0,2026-03-04,,-15.1,Triple Top,,0.0,,,-2.26
매도,007070.KS,GS리테일,19950.0,20268.9375,2026-03-04,,20.71,Triple Top,,0.0,,,-1.57
매도,003570.KS,SNT다이내믹스,48050.0,49150.0,2026-03-04,,-12.92,Rect Top,,0.0,,,-2.24
매도,060370.KS,LS마린솔루션,31350.0,27300.0,2026-03-04,,-3.09,Rect Top,,0.0,,,14.84
매도,195940.KS,HK이노엔,51400.0,45650.0,2026-03-04,,20.09,Triple Top,,0.0,,,12.6
매도,007310.KS,오뚜기,368500.0,374000.0,2026-03-04,,-5.27,Triple Top,,0.0,,,-1.47
매도,035760.KS,CJ ENM,61600.0,61600.0,2026-03-04,,-24.04,Triple Top,,0.0,,,0.0
매도,095610.KS,테스,66100.0,64200.0,2026-03-04,,162.75,Triple Top,,0.0,,,2.96
매도,300720.KS,한일시멘트,16570.0,16431.140625,2026-03-04,,-2.48,Triple Top,,0.0,,,0.85
매도,348370.KS,엔켐,53100.0,60600.0,2026-03-04,,-3.8,Rect Top,,0.0,,,-12.38
매도,185750.KS,종근당,86700.0,81818.71875,2026-03-04,,5.84,Triple Top,,0.0,,,5.97
매도,166090.KS,하나머티리얼즈,59100.0,58900.0,2026-03-04,,132.03,Triple Top,,0.0,,,0.34
매도,036540.KS,SFA반도체,7070.0,6890.0,2026-03-04,,116.54,Triple Top,,0.0,,,2.61
매도,096530.KS,씨젠,22150.0,23400.0,2026-03-04,,-32.84,Triple Top,,0.0,,,-5.34
매도,213420.KS,덕산네오룩스,44500.0,34100.0,2026-03-04,,18.67,Triple Top,,0.0,,,30.5
매도,036830.KS,솔브레인홀딩스,51700.0,48600.0,2026-03-04,,32.9,Triple Top,,0.0,,,6.38
매도,006120.KS,SK디스커버리,60300.0,52000.0,2026-03-04,,8.86,Triple Top,,0.0,,,15.96
매도,005300.KS,롯데칠성,117100.0,124800.0,2026-03-04,,-0.17,Rect Top,,0.0,,,-6.17
매도,328130.KS,루닛,38900.0,37700.0,2026-03-04,,-26.33,Rect Top,,0.0,,,3.18
매도,192080.KS,더블유게임즈,50300.0,49905.1875,2026-03-04,,-5.51,Triple Top,,0.0,,,0.79
매도,249420.KS,일동제약,31400.0,35800.0,2026-03-04,,141.54,Triple Top,,0.0,,,-12.29
매도,009240.KS,한샘,42700.0,42300.0,2026-03-04,,-3.72,Triple Top,,0.0,,,0.95
매도,030190.KS,NICE평가정보,16180.0,16210.0,2026-03-04,,1.38,Triple Top,,0.0,,,-0.19
매도,161580.KS,필옵틱스,40100.0,41400.0,2026-03-04,,3.22,Triple Top,,0.0,,,-3.14
매도,032190.KS,다우데이타,23800.0,23400.0,2026-03-04,,31.42,Triple Top,,0.0,,,1.71
매도,358570.KS,지아이이노베이션,14620.0,13150.0,2026-03-04,,-39.08,Triple Top,,0.0,,,11.18
