date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-13,1,▲+1,건설,44.86,67.05,1.26
2026-03-13,2,▼-1,금융,21.15,55.8,1.16
2026-03-13,3,▲+4,원자력,43.05,77.89,0.79
2026-03-13,4,▲+4,방산/우주항공,37.27,83.19,0.58
2026-03-13,5,▼-2,반도체,41.16,82.14,0.51
2026-03-13,6,▼-1,전력/인프라,35.89,74.19,0.49
2026-03-13,7,▼-1,IT,33.75,70.27,0.42
2026-03-13,8,▼-4,신재생에너지,30.1,76.11,0.37
2026-03-13,9,▲+3,금,16.55,32.85,0.21
2026-03-13,10,▼-1,AI,23.98,66.29,0.11
2026-03-13,11,▼-1,자동차,23.48,74.3,0.01
2026-03-13,12,▲+7,조선/해운,9.21,63.98,-0.17
2026-03-13,13,─,철강/금속,12.03,65.93,-0.31
2026-03-13,14,▼-3,에너지/화학,10.74,64.21,-0.31
2026-03-13,15,▲+1,부동산/리츠,2.0,18.53,-0.38
2026-03-13,16,▲+2,로봇,16.75,77.57,-0.45
2026-03-13,17,▲+3,바이오/헬스케어,5.02,64.51,-0.54
2026-03-13,18,▲+4,게임,1.98,46.32,-0.54
2026-03-13,19,▼-4,2차전지,10.01,80.52,-0.55
2026-03-13,20,▼-6,운송,3.84,45.46,-0.6
2026-03-13,21,▼-4,플랫폼,2.53,46.24,-0.67
2026-03-13,22,▲+2,소프트웨어,-2.93,52.92,-0.91
2026-03-13,23,▼-2,소비재,-3.91,45.22,-1.18
2026-03-13,24,▼-1,미디어/엔터,-6.16,47.47,-1.27
