date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-23,1,─,Silver Miners,66.59,47.65,2.05
2026-01-23,2,─,Metals & Mining,42.4,35.84,1.76
2026-01-23,3,▲+1,Materials,37.69,32.51,1.61
2026-01-23,4,▲+2,Uranium,32.64,45.54,1.03
2026-01-23,5,▲+6,Energy,10.27,17.85,0.62
2026-01-23,6,▼-1,Semiconductors,17.42,29.08,0.55
2026-01-23,7,▲+2,Clean Energy,17.71,30.12,0.54
2026-01-23,8,─,Pharmaceutical,11.25,14.88,0.52
2026-01-23,9,▲+7,Consumer Staples,6.53,13.96,0.43
2026-01-23,10,▼-7,Industrials,9.46,19.73,0.35
2026-01-23,11,▼-1,Nuclear Energy,12.42,32.21,0.24
2026-01-23,12,─,Biotechnology,14.7,26.21,0.22
2026-01-23,13,▲+2,Healthcare,7.97,15.99,0.12
2026-01-23,14,▼-7,Mortgage REITs,5.0,12.95,0.08
2026-01-23,15,▼-2,Electric Energy Infrastructure,4.8,19.17,-0.12
2026-01-23,16,▲+2,Banks,6.08,23.48,-0.23
2026-01-23,17,─,Utilities,2.76,13.36,-0.23
2026-01-23,18,▼-4,Real Estate,1.53,12.25,-0.37
2026-01-23,19,▲+3,Telecom,2.56,12.62,-0.47
2026-01-23,20,▲+6,Consumer Discretionary,3.86,39.47,-0.58
2026-01-23,21,▲+2,Automotive,-7.53,81.62,-0.6
2026-01-23,22,▼-3,Cryptocurrency,-3.74,42.33,-0.72
2026-01-23,23,▼-2,Technology,0.64,16.65,-0.75
2026-01-23,24,▼-4,Financials,0.91,16.83,-0.81
2026-01-23,25,▼-1,Medical Devices,0.66,18.37,-0.83
2026-01-23,26,▼-1,Leisure & Entertainment,-2.36,36.35,-0.89
2026-01-23,27,─,Cloud Computing,-1.53,22.12,-0.98
2026-01-23,28,─,Internet,-1.66,22.99,-0.98
2026-01-23,29,─,Software,-9.62,19.23,-1.82
