# KRX Daily Top30 LGBM System Report
# Generated: 2026-01-16 15:22:29
# Data Date: 2026-01-14
#
# ===== BACKTEST RESULTS (OOS Period) =====
# Period: 2023-06-09 ~ 2026-01-14
# Trading Days: 633
# Initial Capital: 100,000,000
# Final Capital: 234,450,939
#
# Total Return: 134.45%
# CAGR: 40.38%
# MDD: 18.57%
# MDD Period: 2024-10-08 ~ 2024-12-09
# Volatility: 25.22%
#
# Sharpe Ratio: 1.48
# Sortino Ratio: 2.42
# Calmar Ratio: 2.18
#
# Monthly Win Rate: 19/31 (61.3%)
# 2025 Return: 50.37%
#
# ----- Yearly Returns -----
# 2024: 28.68%
# 2025: 54.65%
# 2026: 6.07%
#
# ===== STRATEGY SETTINGS =====
# Top N: 20
# Rebalance: Monthly (21 days)
# Transaction Cost: 0.3%
#
# ===== TOP30 RECOMMENDATIONS =====
#
rank,ticker,name,score,score_percentile,market_cap,value_traded_20d,vol_20d,risk_flags
1,002230,피에스텍,0.024419307190630696,100.0,207771779600,8342248206,0.064909,"['high_vol']"
2,007810,코리아써키트,0.022215829323970877,96.7,1223554901800,26643162858,0.050173,"['high_vol']"
3,082270,젬백스,0.020940946649741013,93.3,988051005350,8760831128,0.036980,"['recent_drop']"
4,084670,동양고속,0.01868298671643767,90.0,208770524900,76664164330,0.172905,"['high_vol', 'high_risk']"
5,001430,세아베스틸지주,0.01784373911167405,86.7,2435037880100,47167937802,0.072524,"['high_vol']"
6,018290,브이티,0.017456425366155975,83.3,581781602700,4649304267,0.022263,"['low_volume']"
7,199430,케이엔알시스템,0.010633583010825797,80.0,338189822250,11822311210,0.054575,"['high_vol']"
8,042700,한미반도체,0.0088332739468456,76.7,16946509160000,411490937515,0.059123,"['high_vol']"
9,204620,글로벌텍스프리,0.008789095718692994,73.3,293081486100,8503684668,0.040494,"['high_vol']"
10,376270,에이치이엠파마,0.008174779544159357,70.0,380075303700,3113449868,0.049910,"['high_vol', 'low_volume']"
11,358570,지아이이노베이션,0.00668344397853945,66.7,891028224450,11713507960,0.035760,"['recent_drop']"
12,000660,SK하이닉스,0.006543046868572768,63.3,540177754830000,2536885709500,0.028495,"[]"
13,200470,에이팩트,0.006478815181932681,60.0,343556574230,13642255642,0.054294,"['high_vol']"
14,003160,디아이,0.006264786821489145,56.7,885790000000,26524116969,0.061890,"['high_vol']"
15,047810,한국항공우주,0.006252022428381026,51.7,15050156520800,149448709550,0.036805,"[]"
16,402340,SK스퀘어,0.006252022428381026,51.7,57523938582500,160543343225,0.034654,"[]"
17,000720,현대건설,0.00616485450190891,46.7,10567662098500,181931181575,0.053761,"['high_vol']"
18,012450,한화에어로스페이스,0.0058519039781234315,43.3,65433955869000,239874966200,0.045278,"['high_vol']"
19,042520,한스바이오메드,0.005702759873508855,40.0,327917759350,10725516715,0.032662,"['recent_drop']"
20,086280,현대글로비스,0.00554222888938942,36.7,19312500000000,78983892500,0.043192,"['high_vol']"
21,012330,현대모비스,0.005529464496281301,33.3,40829662350000,171907537150,0.040459,"['high_vol']"
22,126340,비나텍,0.005434089640712054,30.0,600646753600,12045287800,0.055872,"['high_vol']"
23,170920,엘티씨,0.0053548499886097905,26.7,238749247600,4284446090,0.037711,"['low_volume']"
24,011210,현대위아,0.005331719236121421,23.3,2420362387000,39101425710,0.043711,"['high_vol']"
25,110990,디아이티,0.005246091959485096,20.0,336231000000,2785246124,0.047805,"['high_vol', 'low_volume']"
26,256940,킵스파마,0.0051749071874851406,16.7,207808821450,2478848579,0.038161,"['low_volume']"
27,204320,HL만도,0.004931600785863827,13.3,2916037152000,120600777145,0.047982,"['high_vol']"
28,00088K,한화3우B,0.0048927849337653175,10.0,985745602800,5626045725,0.040424,"['high_vol']"
29,416180,신성에스티,0.004867279278313678,6.7,291532840500,2867197248,0.030682,"['low_volume']"
30,189300,인텔리안테크,0.0048437962093676075,3.3,738453379200,18315231970,0.060879,"['high_vol']"
