티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
012860,012860,4370.0,4370.0,3714,5681,18.5,01/15,W바닥,상승패턴,3200
464080,에스오에스랩,20650.0,20700.0,17552,26845,15.9,01/15,상승삼각,상승패턴,3684
290740,액트로,23000.0,22450.0,19550,29900,15.8,01/15,상승삼각,상승패턴,2270
295310,에이치브이엠,75300.0,81400.0,64005,97890,15.5,01/15,W바닥,상승패턴,9248
000660,SK하이닉스,738000.0,742000.0,627300,959400,13.0,01/15,W바닥,상승패턴,5358097
007810,코리아써키트,57700.0,58400.0,49045,75010,11.9,01/15,상승삼각,상승패턴,13747
354320,알멕,43100.0,42150.0,36635,56030,11.7,01/15,W바닥,상승패턴,2707
005935,삼성전자우,103800.0,103300.0,88230,134940,11.6,01/07,상승삼각,이격도9.7%+기울기0.65%,846982
047810,한국항공우주,158600.0,157200.0,134810,206180,11.1,01/15,W바닥,상승패턴,154011
005380,현대차,419000.0,418000.0,356150,544700,11.1,01/15,상승삼각,상승패턴,867149
272210,한화시스템,92400.0,92600.0,78540,120120,10.7,01/15,상승삼각,상승패턴,176451
012450,한화에어로스페이스,1286000.0,1285000.0,1093100,1671800,10.4,01/15,W바닥,상승패턴,664652
482630,삼양엔씨켐,26800.0,26550.0,22780,34840,10.3,01/07,상승삼각,이격도8.3%+기울기2.06%,2938
170920,엘티씨,22550.0,22300.0,19168,29315,9.8,01/15,W바닥,상승패턴,2398
006800,미래에셋증권,30250.0,30400.0,25712,39325,9.8,01/15,W바닥,상승패턴,171827
005389,현대차3우B,257000.0,257000.0,218450,334100,9.8,01/15,상승삼각,상승패턴,6028
005387,현대차2우B,264500.0,264500.0,224825,343850,9.4,01/15,상승삼각,상승패턴,93354
000880,한화,134200.0,130400.0,114070,174460,9.3,01/15,W바닥,상승패턴,99320
029460,케이씨,28300.0,28450.0,24055,36790,9.3,01/15,W바닥,상승패턴,3744
420770,기가비스,41650.0,41200.0,35402,54145,9.2,01/15,W바닥,상승패턴,5248
074600,원익QnC,24250.0,24250.0,20612,31525,8.8,01/15,W바닥,"상승패턴, 이격도9.3%+기울기2.34%",6349
005385,현대차우,259500.0,259000.0,220575,337350,8.8,01/15,상승삼각,상승패턴,60570
080220,제주반도체,29100.0,29050.0,24735,37830,8.6,01/15,W바닥,상승패턴,9920
032940,원익,13800.0,13830.0,11730,17940,8.5,01/15,W바닥,"상승패턴, 이격도7.7%+기울기1.91%",2492
00088K,한화3우B,52300.0,51600.0,44455,67990,8.2,01/15,W바닥,상승패턴,10032
028260,삼성물산,284000.0,282000.0,241400,369200,7.7,01/15,상승삼각,상승패턴,479334
084680,이월드,1575.0,1517.0,1339,2048,7.5,01/02,상승삼각,이격도4.3%+기울기1.48%,2232
00680K,미래에셋증권2우B,12410.0,12500.0,10548,16133,7.4,01/15,W바닥,"상승패턴, 이격도8.0%+기울기0.74%",17030
950170,JTC,4870.0,4900.0,4140,6331,7.4,01/15,W바닥,상승패턴,2523
451760,컨텍,13980.0,14050.0,11883,18174,7.3,01/15,W바닥,상승패턴,2080
