# ========== 백테스트 최적화 결과 ==========
# 백테스트: disparity_cap_optimization | 최적화일: 2026-01-22
# IS  수익률: 267.34% | MDD: -23.83%
# OOS 수익률: 191.31% | MDD: -27.63%
# 손절: 15% | 익절: 30% (R:R 1:2)
# 이격도매수: 7.5% | 기울기매수: 0.6%
# 이격도상한: 50% | 변동성상위제외: 20%
# 최대포지션: 7개
# 스캔일시: 2026-01-23 10:37
# ==========================================
티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억),이격도
001430,세아베스틸지주,74600.0,75400.0,63410,96980,16.3,01/23,W바닥,상승패턴,27004,27.4
007810,코리아써키트,63100.0,64000.0,53635,82030,15.0,01/23,상승삼각,상승패턴,15117,32.0
047810,한국항공우주,164300.0,165200.0,139655,213590,13.8,01/23,W바닥,상승패턴,160347,17.2
295310,에이치브이엠,84800.0,87000.0,72080,110240,13.1,01/23,W바닥,상승패턴,10271,23.2
330590,롯데리츠,4320.0,4315.0,3672,5616,11.5,01/23,W바닥,상승패턴,12469,6.3
012450,한화에어로스페이스,1264000.0,1273000.0,1074400,1643200,10.6,01/23,W바닥,상승패턴,653308,15.3
014680,한솔케미칼,274000.0,280500.0,232900,356200,9.3,01/23,W바닥,상승패턴,31455,16.0
298040,효성중공업,2349000.0,2389000.0,1996650,3053700,9.1,01/23,W바닥,상승패턴,222763,20.9
189300,인텔리안테크,74600.0,77200.0,63410,96980,8.9,01/23,상승삼각,상승패턴,8179,12.9
448730,삼성FN리츠,4865.0,4870.0,4135,6324,8.7,01/23,상승삼각,상승패턴,4439,1.7
006800,미래에셋증권,32600.0,33300.0,27710,42380,8.6,01/23,W바닥,상승패턴,185721,19.7
071050,한국금융지주,193500.0,195900.0,164475,251550,8.2,01/23,상승삼각,상승패턴,108610,13.9
170920,엘티씨,23900.0,23700.0,20315,31070,8.2,01/23,W바닥,상승패턴,2498,9.2
00088K,한화3우B,49850.0,50300.0,42372,64805,7.7,01/23,W바닥,상승패턴,9702,15.6
086790,하나금융지주,101100.0,101600.0,85935,131430,7.6,01/23,W바닥,"상승패턴, 이격도7.3%+기울기0.61%",281387,7.3
001040,CJ,193000.0,193200.0,164050,250900,7.6,01/23,W바닥,상승패턴,56778,8.3
352820,하이브,375500.0,381000.0,319175,488150,7.3,01/23,W바닥,상승패턴,161015,11.3
071055,한국금융지주우,142300.0,143900.0,120955,184990,7.3,01/23,W바닥,상승패턴,8395,9.2
006260,LS,225500.0,232000.0,191675,293150,7.1,01/23,W바닥,상승패턴,72434,11.2
012510,더존비즈온,99600.0,98400.0,84660,129480,6.9,-,-,이격도7.4%+기울기0.65%,30170,7.4
010140,삼성중공업,30500.0,30500.0,25925,39650,6.9,01/23,W바닥,상승패턴,268400,9.7
006730,서부T&D,14760.0,15030.0,12546,19188,6.7,01/23,W바닥,상승패턴,9713,14.7
000430,대원강업,4430.0,4480.0,3766,5759,6.7,01/23,W바닥,상승패턴,2756,7.9
329180,HD현대중공업,624000.0,628000.0,530400,811200,6.5,01/23,W바닥,상승패턴,653908,9.8
001440,대한전선,27450.0,27750.0,23332,35685,6.4,01/23,W바닥,상승패턴,51366,7.7
055550,신한지주,82700.0,83000.0,70295,107510,6.4,01/23,W바닥,상승패턴,401504,5.2
376270,HEM파마,65400.0,63100.0,55590,85020,6.4,01/23,상승삼각,상승패턴,4531,26.6
451800,한화리츠,4360.0,4350.0,3706,5668,6.4,01/23,상승삼각,상승패턴,7822,2.1
000880,한화,119000.0,120200.0,101150,154700,6.4,01/23,W바닥,상승패턴,89351,11.6
104830,원익머트리얼즈,36550.0,37375.0,31068,47515,6.3,01/23,상승삼각,상승패턴,4665,10.2
