티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억),이격도
464080,에스오에스랩,22050.0,20700.0,19845,26460,15.9,01/15,상승삼각,상승패턴,3684,27.7
000660,SK하이닉스,747000.0,742000.0,672300,896400,13.0,01/15,W바닥,상승패턴,5358097,11.9
007810,코리아써키트,60100.0,58400.0,54090,72120,11.9,01/15,상승삼각,상승패턴,13747,34.6
354320,알멕,43200.0,42150.0,38880,51840,11.7,01/15,W바닥,상승패턴,2707,31.7
047810,한국항공우주,157200.0,157200.0,141480,188640,11.1,01/15,W바닥,상승패턴,154011,19.9
005380,현대차,418000.0,418000.0,376200,501600,11.1,01/15,상승삼각,상승패턴,867149,24.4
272210,한화시스템,92600.0,92600.0,83340,111120,10.7,01/15,상승삼각,상승패턴,176451,35.7
012450,한화에어로스페이스,1285000.0,1285000.0,1156500,1542000,10.4,01/15,W바닥,상승패턴,664652,24.1
170920,엘티씨,22300.0,22300.0,20070,26760,9.8,01/15,W바닥,상승패턴,2398,7.2
006800,미래에셋증권,30400.0,30400.0,27360,36480,9.8,01/15,W바닥,상승패턴,171827,22.0
005389,현대차3우B,257000.0,257000.0,231300,308400,9.8,01/15,상승삼각,상승패턴,6028,17.2
005387,현대차2우B,264500.0,264500.0,238050,317400,9.4,01/15,상승삼각,상승패턴,93354,17.8
000880,한화,130400.0,130400.0,117360,156480,9.3,01/15,W바닥,상승패턴,99320,32.3
029460,케이씨,28450.0,28450.0,25605,34140,9.3,01/15,W바닥,상승패턴,3744,6.8
420770,기가비스,41200.0,41200.0,37080,49440,9.2,01/15,W바닥,상승패턴,5248,16.7
074600,원익QnC,24250.0,24250.0,21825,29100,8.8,01/15,W바닥,상승패턴,6349,9.3
005385,현대차우,259000.0,259000.0,233100,310800,8.8,01/15,상승삼각,상승패턴,60570,17.9
080220,제주반도체,29050.0,29050.0,26145,34860,8.6,01/15,W바닥,상승패턴,9920,2.4
032940,원익,13830.0,13830.0,12447,16596,8.5,01/15,W바닥,상승패턴,2492,7.7
00088K,한화3우B,51600.0,51600.0,46440,61920,8.2,01/15,W바닥,상승패턴,10032,29.2
028260,삼성물산,282000.0,282000.0,253800,338400,7.7,01/15,상승삼각,상승패턴,479334,10.7
084680,이월드,1579.0,1517.0,1421,1895,7.5,01/02,상승삼각,이격도4.3%+기울기1.48%,2232,4.3
00680K,미래에셋증권2우B,12500.0,12500.0,11250,15000,7.4,01/15,W바닥,상승패턴,17030,8.0
950170,JTC,4900.0,4900.0,4410,5880,7.4,01/15,W바닥,상승패턴,2523,16.6
451760,컨텍,14050.0,14050.0,12645,16860,7.3,01/15,W바닥,상승패턴,2080,12.0
064350,현대로템,216000.0,216000.0,194400,259200,7.1,01/15,W바닥,상승패턴,237930,8.1
042660,한화오션,147100.0,147100.0,132390,176520,7.0,01/15,W바닥,상승패턴,451960,15.4
214430,아이쓰리시스템,93100.0,93100.0,83790,111720,7.0,01/15,W바닥,상승패턴,6730,14.1
000270,기아,147100.0,147100.0,132390,176520,6.6,01/15,상승삼각,상승패턴,576250,15.0
034730,SK,302000.0,302000.0,271800,362400,6.5,01/15,W바닥,상승패턴,218596,12.3
