# ========== 백테스트 최적화 결과 ==========
# 백테스트: disparity_cap_optimization | 최적화일: 2026-01-16
# IS  수익률: 279.77% | MDD: -29.45%
# OOS 수익률: 239.28% | MDD: -40.66%
# 손절: 10% | 익절: 20% (R:R 1:2)
# 이격도매수: 7.5% | 기울기매수: 0.6%
# 이격도상한: 50% | 최대포지션: 4개
# 스캔일시: 2026-01-16 13:00
# ==========================================
티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억),이격도
000660,SK하이닉스,755000.0,760000.0,679500,906000,19.4,01/16,W바닥,상승패턴,5467298,13.2
464080,에스오에스랩,21900.0,21750.0,19710,26280,17.3,01/16,상승삼각,상승패턴,3898,31.7
007810,코리아써키트,63100.0,62300.0,56790,75720,16.9,01/16,상승삼각,상승패턴,14338,39.9
005930,삼성전자,148800.0,148900.0,133920,178560,16.6,01/16,상승삼각,상승패턴,8666350,16.4
005935,삼성전자우,109900.0,109600.0,98910,131880,14.8,01/16,상승삼각,상승패턴,880437,14.3
047810,한국항공우주,158200.0,161200.0,142380,189840,14.6,01/16,W바닥,상승패턴,155570,21.7
354320,알멕,42850.0,44450.0,38565,51420,13.6,01/16,W바닥,상승패턴,2809,38.0
295310,에이치브이엠,71000.0,73000.0,63900,85200,13.2,01/16,W바닥,상승패턴,8534,27.8
005389,현대차3우B,268500.0,271500.0,241650,322200,13.0,01/16,상승삼각,상승패턴,6238,20.5
012450,한화에어로스페이스,1292000.0,1300000.0,1162800,1550400,12.8,01/16,W바닥,상승패턴,665684,24.1
200470,에이팩트,8350.0,8450.0,7515,10020,12.8,01/16,상승삼각,상승패턴,3546,20.6
005380,현대차,420000.0,420500.0,378000,504000,12.7,01/16,상승삼각,상승패턴,857935,23.8
005387,현대차2우B,274500.0,278500.0,247050,329400,12.7,01/16,상승삼각,상승패턴,96675,21.1
005385,현대차우,269500.0,272500.0,242550,323400,12.2,01/16,상승삼각,상승패턴,63021,21.4
420770,기가비스,46050.0,45400.0,41445,55260,12.0,01/16,W바닥,상승패턴,5742,25.5
074600,원익QnC,24500.0,24850.0,22050,29400,11.7,01/16,W바닥,상승패턴,6467,11.0
080220,제주반도체,30800.0,32100.0,27720,36960,11.6,01/16,W바닥,상승패턴,10936,12.7
170920,엘티씨,21800.0,22500.0,19620,26160,11.4,01/16,W바닥,상승패턴,2409,7.6
049630,재영솔루텍,5860.0,5610.0,5274,7032,11.2,01/16,상승삼각,상승패턴,6348,35.2
006800,미래에셋증권,31000.0,31400.0,27900,37200,11.0,01/16,W바닥,상승패턴,176931,25.0
032940,원익,14090.0,14110.0,12681,16908,10.2,01/16,W바닥,상승패턴,2574,9.4
028260,삼성물산,288000.0,287000.0,259200,345600,10.0,01/16,상승삼각,상승패턴,481884,12.2
000270,기아,153300.0,156300.0,137970,183960,10.0,01/16,상승삼각,상승패턴,608654,20.6
000990,DB하이텍,83200.0,85700.0,74880,99840,9.4,01/16,상승삼각,상승패턴,37283,18.2
451760,컨텍,14040.0,14190.0,12636,16848,9.3,01/16,W바닥,상승패턴,2157,12.6
000880,한화,125000.0,126400.0,112500,150000,9.3,01/16,W바닥,상승패턴,94298,24.0
00680K,미래에셋증권2우B,13230.0,13240.0,11907,15876,9.2,01/16,W바닥,상승패턴,17905,13.7
950170,JTC,5010.0,5040.0,4509,6012,9.1,01/16,W바닥,상승패턴,2655,19.1
00088K,한화3우B,48700.0,50900.0,43830,58440,9.0,01/16,W바닥,상승패턴,9916,24.9
039030,이오테크닉스,297500.0,302500.0,267750,357000,8.7,01/16,W바닥,상승패턴,36866,4.7
