rank,in_portfolio,ticker,name,market,current_price,stop_loss_price,take_profit_price,stop_loss_pct,take_profit_pct,trailing_stop_pct,hold_days,momentum,filter_mom,near_high,rs_rank,score,market_cap,close
1,True,347700,스피어,KOSDAQ,41950.0,,58729.99999999999,,40.0,15.0,30,441.26195896858695,405.95882990249186,100.0,99.44400317712471,0.7092717585863402,2203610670800.0,46700.0
2,True,127120,제이에스링크,KOSDAQ,38000.0,,53200.0,,40.0,15.0,30,436.1044248006837,96.99367088607596,100.0,99.20571882446386,0.7076985041270534,1273534005600.0,37350.0
3,True,085910,네오티스,KOSDAQ,17240.0,,24136.0,,40.0,15.0,30,434.9304453315805,242.66409266409266,99.71910112359551,98.96743447180302,0.7058120919602613,247343019500.0,17750.0
4,True,089970,브이엠,KOSDAQ,40800.0,,57120.0,,40.0,15.0,30,356.920818380948,66.52806652806653,100.0,98.64972200158856,0.690555716781803,977688384750.0,40050.0
5,True,126340,비나텍,KOSDAQ,116800.0,,163520.0,,40.0,15.0,30,342.89585789814004,105.09666080843587,95.73420836751436,98.37172359015092,0.6702211436503369,785823723600.0,116700.0
6,True,338840,와이바이오로직스,KOSDAQ,26400.0,,36960.0,,40.0,15.0,30,251.98834741772248,17.19077568134173,99.28952042628775,97.06115965051629,0.663099958644212,424227363950.0,27950.0
7,True,010170,대한광통신,KOSDAQ,4245.0,,5943.0,,40.0,15.0,30,345.3531994290633,116.2621359223301,93.39622641509435,98.49086576648133,0.6617250013108031,587996115300.0,4455.0
8,True,240810,원익IPS,KOSDAQ,114400.0,,160160.0,,40.0,15.0,30,295.67538352378244,87.84893267651887,95.89270746018441,98.01429706115965,0.6605673944238073,5615198274400.0,114400.0
9,True,226950,올릭스,KOSDAQ,160900.0,,225260.0,,40.0,15.0,30,223.2093304679839,18.768115942028984,100.0,96.70373312152502,0.6593318749885639,3309121823700.0,163900.0
10,True,397030,에이프릴바이오,KOSDAQ,68000.0,,95200.0,,40.0,15.0,30,276.43845162733066,76.27551020408163,96.77871148459384,97.61715647339157,0.6593190174642916,1612975456600.0,69100.0
11,True,083650,비에이치아이,KOSDAQ,89400.0,,125159.99999999999,,40.0,15.0,30,267.7615841075114,97.57442116868798,97.28555917480999,97.33915806195394,0.6589570587877858,2772616000000.0,89600.0
12,True,098120,마이크로컨텍솔,KOSDAQ,29900.0,,41860.0,,40.0,15.0,30,328.9583146386695,58.33333333333333,92.61006289308176,98.57029388403494,0.6555020726851497,244810958700.0,29450.0
13,True,241520,DSC인베스트먼트,KOSDAQ,17770.0,,24878.0,,40.0,15.0,30,241.39311023831195,166.1169415292354,95.53283100107642,98.33200953137411,0.6489699166492151,479250000000.0,17750.0
14,True,200470,에이팩트,KOSDAQ,8770.0,,12278.0,,40.0,15.0,30,233.5605100028177,86.96581196581197,97.00665188470067,96.22716441620334,0.6484778796425142,370668313750.0,8750.0
15,True,214370,케어젠,KOSDAQ,135900.0,,190260.0,,40.0,15.0,30,291.0769098620686,102.78592375366568,92.1385742838108,98.2922954725973,0.6454067333128274,7428784500000.0,138300.0
16,False,006910,보성파워텍,KOSDAQ,11660.0,,16323.999999999998,,40.0,15.0,30,263.70931750242096,122.13883677298311,93.08176100628931,97.37887212073075,0.641586784623642,581697116160.0,11840.0
17,False,389470,인벤티지랩,KOSDAQ,82800.0,,115919.99999999999,,40.0,15.0,30,376.32663199111676,25.975975975975985,86.31687242798354,98.53057982525814,0.6399945673898408,1104132557800.0,83900.0
18,False,035810,이지홀딩스,KOSDAQ,8730.0,,12222.0,,40.0,15.0,30,139.7458774304701,88.86509635974305,100.0,95.51231135822081,0.6398943817807563,569032751700.0,8820.0
19,False,100790,미래에셋벤처투자,KOSDAQ,22500.0,,31499.999999999996,,40.0,15.0,30,294.9869964025976,172.67230955259976,90.2,98.41143764892773,0.6387837027394544,1197960496700.0,22550.0
20,False,005710,대원산업,KOSDAQ,17030.0,,23842.0,,40.0,15.0,30,152.95752840509874,18.09256661991585,100.0,93.56632247815728,0.6381470383074628,337433184000.0,16840.0
