rank,code,name,current_price,short_ret,mid_ret,long_ret,daily_return,agreement,total_score,tag,freq_count
1,001430,세아베스틸지주,58000,0.00,0.00,0.00,0.0000,0.000,0.046052,Mixed,9
2,016610,DB증권,12000,0.00,0.00,0.00,0.0000,0.000,0.041589,Mixed,7
3,042700,한미반도체,185700,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
4,000660,SK하이닉스,756000,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
5,332570,PS일렉트로닉스,7890,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
6,047810,한국항공우주,142800,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
7,402340,SK스퀘어,430500,0.00,0.00,0.00,0.0000,0.000,0.038918,Mixed,6
8,005930,삼성전자,138800,0.00,0.00,0.00,0.0000,0.000,0.035835,Mixed,5
9,029460,케이씨,28300,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
10,028260,삼성물산,270500,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
11,211270,AP위성,15430,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
12,036540,SFA반도체,5730,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
13,131970,두산테스나,52100,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
14,170920,엘티씨,21750,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
15,295310,에이치브이엠,69300,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
16,347700,스피어,18000,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
17,451760,컨텍,14490,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
18,475830,오름테라퓨틱,142100,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
19,080220,제주반도체,33000,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
20,032940,원익,12350,0.00,0.00,0.00,0.0000,0.000,0.032189,Mixed,4
21,012200,계양전기,10980,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
22,079550,LIG넥스원,527000,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
23,023810,인팩,10650,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
24,006800,미래에셋증권,27650,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
25,034020,두산에너빌리티,83700,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
26,126340,비나텍,83200,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
27,054540,삼영엠텍,15280,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
28,071970,HD현대마린엔진,96200,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
29,097230,HJ중공업,24650,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
30,039490,키움증권,306500,0.00,0.00,0.00,0.0000,0.000,0.027726,Mixed,3
